"","ID","TERRIT","TERRIT_NAME","STUDY_AREA","X","Y","habitat_hunting","habitat_forest","habitat_urban","biotic_annoyance","prey_abund_preferred","prey_abund_total","prey_supply","prey_supply_mass","breed_perform_init","breed_perform_final","breed_perform","breed_perform_pheno","adult_qual_timenest","adult_qual_timeterrmale","adult_qual_timeterrfem"
"41","Mo07",1,"Acosta","Morrazo",525452,4681858,-0.000358022065338244,-1.0178341792323,0.0474781022426014,-0.399266591420876,-0.252040756635379,-0.187693252086111,0.499089730601472,0.489197813627476,-0.0565598106904213,0.312839187024688,0.463544460841515,-0.765477534392382,0.589995578938065,0.686253699649067,0.65517407617086
"42","mo114",1,"Acosta","Morrazo",525419,4681773,-0.063228792586933,-1.26833203565981,0.00651090823344616,-0.399266591420876,-0.430316545482725,-0.398424079020904,1.43613396062003,1.36343723139125,0.395918677875478,0.692832334820449,0.463544460841515,-0.795659514260479,0.707673740404439,0.487983639476485,-1.65144656241165
"43","mo116",19,"Pedragrande","Morrazo",519680,4681820,0.334154441610785,-0.202356190976256,0.23846976192549,-0.399266591420876,0.229354793021248,-0.047656730141233,-0.492100892086169,-0.330922571943389,0.395918677875478,0.692832334820449,0.463544460841515,0.834167561599418,0.707673740404439,1.08279381999423,0.477741719356821
"44","Mo48",20,"Pervido","Morrazo",523269,4684535,-1.42735271190954,1.19171482216487,-1.48199426586247,-0.83619984240976,-1.19802179901066,-1.13044925509565,1.21760067667983,2.81914558972322,0.395918677875478,0.692832334820449,0.463544460841515,0.0192540236694694,0.707673740404439,0.487983639476485,0.832606432984899
"45","Mo53",3,"Ameixoada","Morrazo",520195,4680412,3.03138137251464,-2.33826519483437,2.91373059088479,2.65926616550131,2.42119831087489,2.28322369865174,-1.88814292537635,-1.83240721944232,-1.64023452270722,-1.01713683197045,0.463544460841515,-0.0260189506599722,-2.11660213252912,-0.503366661386426,-0.231987707899334
"46","Mo54",19,"Pedragrande","Morrazo",520070,4682386,-1.19671320885276,0.893347751807524,-1.25672866441255,-0.399266591420876,-1.1863824709925,-1.44156293262925,0.028749369029754,0.128366896815006,1.75335414493061,1.26282205708408,-0.0915025204479888,-0.116564899318855,0.707673740404439,0.487983639476485,-0.498136243120393
"47","Mo78",18,"Paralaya","Morrazo",520750,4684245,-1.0120130343177,1.02593636045284,-1.07633200489365,-0.399266591420876,-0.762733146266184,-0.97090636757751,-0.933841967264564,-0.641871910767992,-0.961516789179654,-1.58712655423408,-1.7566434643165,0.109799972328353,0.707673740404439,0.686253699649067,0.832606432984899
"48","P23",8,"Cavada","Morrazo",527544,4694184,0.547658342378598,-0.328091334213015,0.446999020707858,0.0376666595680072,0.309501654283899,0.338299546475524,-0.337842103740096,-0.542229194423775,0.395918677875478,0.122842612556817,-0.276518180877823,-0.659840591272154,-0.704464196062343,0.686253699649067,0.832606432984899
"49","P24",8,"Cavada","Morrazo",527348,4693976,0.499270118890861,-0.323552015368185,0.399738243076133,-0.399266591420876,0.235754164949024,0.297120191633906,1.01963523219361,1.60947124574845,0.395918677875478,0.692832334820449,0.463544460841515,-1.33893520621378,0.707673740404439,0.686253699649067,0.832606432984899
"50","p35",8,"Cavada","Morrazo",527497,4694138,0.650790104595296,-0.424763485387741,0.54772781233474,0.0376666595680072,0.36353931854981,0.395625099879915,0.0478048665851804,-0.0881161238879277,-0.961516789179654,-0.447147109706815,0.463544460841515,-0.705113565601596,0.707673740404439,1.08279381999423,1.18747114661298
"51","V06",23,"Regueira","Morrazo",528477,4688964,-0.407311813297971,0.596627742602302,-0.485720325432253,-0.83619984240976,-0.761465625053543,-0.802725438395535,-0.639347916785697,-0.318940132619691,-0.961516789179654,-0.447147109706815,0.463544460841515,0.743621612940535,0.707673740404439,-2.08952714276708,1.18747114661298
"52","V08",23,"Regueira","Morrazo",528765,4688662,0.261062436324399,0.0545193071662979,0.167080800738019,-0.399266591420876,-0.440664841173712,-0.553154245449747,1.35900456590708,1.24779316291435,1.75335414493061,1.83281177934771,0.463544460841515,-0.705113565601596,0.707673740404439,0.487983639476485,0.832606432984899
"53","V10",27,"Santa Cristina","Morrazo",527068,4687275,-0.979841926409163,1.13499343128264,-1.04491048396476,-0.399266591420876,-1.22089338065146,-1.39181847259881,-0.650896703968243,-0.395959266211362,-0.961516789179654,-0.447147109706815,0.463544460841515,1.73962704818825,0.0431382410235666,-2.08952714276708,0.122877005728744
"54","V18",24,"Sabaxans","Morrazo",529124,4692948,0.583146959751227,-0.425816399286302,1.05809258381404,1.34846641253466,1.37054111660065,1.4620584983535,0.58771062525653,0.298889671390271,0.395918677875478,0.692832334820449,0.463544460841515,-0.433475719624946,0.707673740404439,-1.29644690207676,-0.94171713515549
"55","v36",25,"San Adrian","Morrazo",527193,4685382,0.144148028186464,0.027295326717193,0.0528904989107176,-0.399266591420876,0.138025117140719,0.188769145457299,-1.99183911073768,-1.59006756188491,-0.961516789179654,-1.58712655423408,-1.7566434643165,0.788894587269976,-1.26931937064906,-0.106826541041262,-1.11914949196953
"56","V57",24,"Sabaxans","Morrazo",529152,4692990,0.748483304007831,-0.547880223872285,1.22248527363087,1.34846641253466,1.48411774250357,1.57320811605397,-0.5692302857193,-0.433768184394972,-0.961516789179654,-0.447147109706815,0.463544460841515,2.10181084282378,-0.704464196062343,-2.08952714276708,-1.65144656241165
"57","v66",23,"Regueira","Morrazo",528617,4688894,0.0239967410281583,0.252294818611162,-0.0644612626391409,-0.83619984240976,-0.466680201135429,-0.544224761447485,2.30559258476354,2.7608493596376,1.75335414493061,1.83281177934771,0.463544460841515,-2.24439469280261,0.707673740404439,0.686253699649067,1.01003878979894
"58","v83",24,"Sabaxans","Morrazo",529213,4692686,-0.0719233609979037,-0.205847697494656,0.503163414412172,1.34846641253466,0.817337162588374,0.973527387182145,0.26376717005372,-0.0702269926595106,-0.961516789179654,-0.447147109706815,0.463544460841515,-0.705113565601596,0.707673740404439,-0.503366661386426,-0.231987707899334
